FieldID,Filename,Filter,MJD
1,Field-1-Z-all.csv,Z,57267.1671072
1,Field-1-J-all.csv,J,57257.0504323
1,Field-1-H-all.csv,H,57257.044108
1,Field-1-Ks-E001-all.csv,Ks,56788.346937
1,Field-1-Ks-E003-all.csv,Ks,56561.0020158
1,Field-1-Ks-E002-all.csv,Ks,56829.0390512
1,Field-1-Y-all.csv,Y,57267.1596647
2,Field-2-Z-all.csv,Z,57268.1671072
2,Field-2-J-all.csv,J,57258.0504323
2,Field-2-H-all.csv,H,57258.044108
2,Field-2-Ks-E001-all.csv,Ks,56789.346937
2,Field-2-Y-all.csv,Y,57268.1596647
3,Field-3-Z-all.csv,Z,57268.1671072
3,Field-3-J-all.csv,J,57258.0504323
3,Field-3-H-all.csv,H,57258.044108
3,Field-3-Ks-E001-all.csv,Ks,56789.346937
3,Field-3-Ks-E002-all.csv,Ks,56562.0020158
3,Field-3-Y-all.csv,Y,57268.1596647
